# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, avgUy
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 56.70571148599069
2, 1.4409622669865524e+02, 5.4824507323683292e+01, -5.7621624401211511e+00, 8.3233027418700090e+00, 54.82450732368329
3, 1.4411068261698088e+02, 5.2301584521045214e+01, -5.8420088255643963e+00, 8.5427506583479111e+00, 52.30158452104521
4, 1.4411508757851598e+02, 5.1465117026752729e+01, -5.8664992624793264e+00, 8.6134633603498667e+00, 51.46511702675272
5, 1.4411682223640770e+02, 5.1157459112957376e+01, -5.8753145066989410e+00, 8.6393250044427177e+00, 51.15745911295738
6, 1.4411678186857398e+02, 5.1004025280808065e+01, -5.8774672677446933e+00, 8.6455234551720697e+00, 51.00402528080808
7, 1.4411712545117598e+02, 5.0997599384204165e+01, -5.8779768703378945e+00, 8.6454968057318631e+00, 50.99759938420416
8, 1.4411724310652667e+02, 5.0995094645226530e+01, -5.8782365619695511e+00, 8.6475469280740480e+00, 50.99509464522653
9, 1.4411724850019016e+02, 5.0996422158606052e+01, -5.8786589222304180e+00, 8.6488434893611892e+00, 50.99642215860605
10, 1.4411731427457511e+02, 5.1008496505303647e+01, -5.8791012127711113e+00, 8.6500016248971683e+00, 51.00849650530365
11, 1.4411741782509881e+02, 5.1016220593582780e+01, -5.8797689130724402e+00, 8.6518684557251380e+00, 51.01622059358278
12, 1.4411682299650792e+02, 5.0991308978719935e+01, -5.8815627383996310e+00, 8.6533374527806490e+00, 50.99130897871994
13, 1.4411682048986032e+02, 5.0967563059738033e+01, -5.8809170737608296e+00, 8.6549938278260381e+00, 50.96756305973803
14, 1.4411675282148775e+02, 5.0946343304360703e+01, -5.8780564112169236e+00, 8.6513259489249936e+00, 50.9463433043607
15, 1.4411684260594797e+02, 5.0942252663203057e+01, -5.8810723310765232e+00, 8.6549788229413469e+00, 50.94225266320306
16, 1.4411693006176853e+02, 5.0934198770206770e+01, -5.8755358262016104e+00, 8.6481476586144375e+00, 50.93419877020677
17, 1.4411697397095739e+02, 5.0933486990759249e+01, -5.8806308964648712e+00, 8.6532149742934532e+00, 50.93348699075925
18, 1.4411717466645470e+02, 5.0929915856526840e+01, -5.8800728256203589e+00, 8.6515360770475560e+00, 50.92991585652684
19, 1.4411713729177109e+02, 5.0919174802491639e+01, -5.8728423589876577e+00, 8.6433977161979634e+00, 50.91917480249163
20, 1.4411718009595901e+02, 5.0924733004536314e+01, -5.8790277542735536e+00, 8.6483932883061723e+00, 50.92473300453631
21, 1.4411742392294329e+02, 5.0953046445280116e+01, -5.8784312818287727e+00, 8.6464726404671808e+00, 50.95304644528012
22, 1.4411722485312316e+02, 5.0973254139955323e+01, -5.8781354535432460e+00, 8.6457745929536483e+00, 50.97325413995532
23, 1.4411704344920611e+02, 5.0981302552538757e+01, -5.8751942286596259e+00, 8.6419764273503343e+00, 50.98130255253876
24, 1.4411686407407109e+02, 5.0985986404640201e+01, -5.8757624673700519e+00, 8.6425550416428738e+00, 50.9859864046402
25, 1.4411690543592573e+02, 5.0992658082115376e+01, -5.8787006349339883e+00, 8.6468058484570189e+00, 50.99265808211538
26, 1.4411685372145146e+02, 5.1000843358127739e+01, -5.8790731033781691e+00, 8.6477231412206308e+00, 51.00084335812774
27, 1.4411678671241998e+02, 5.1014888456909652e+01, -5.8790872259258782e+00, 8.6469923857629389e+00, 51.01488845690966
28, 1.4411657130193916e+02, 5.1018199213149806e+01, -5.8805513879073645e+00, 8.6494234213337169e+00, 51.01819921314981
29, 1.4411641080370299e+02, 5.1020238411326730e+01, -5.8802680024354395e+00, 8.6514957760088951e+00, 51.02023841132673
30, 1.4411583585743736e+02, 5.0973160952120580e+01, -5.8825524109414182e+00, 8.6537516323022707e+00, 50.97316095212058
31, 1.4411582975226796e+02, 5.0960541267647585e+01, -5.8787418599572847e+00, 8.6502483982849423e+00, 50.96054126764759
32, 1.4411594520174762e+02, 5.0956179987124109e+01, -5.8813439878810723e+00, 8.6541246611069660e+00, 50.95617998712411
33, 1.4411608186271812e+02, 5.0949950494807496e+01, -5.8813747025939414e+00, 8.6540408491370719e+00, 50.9499504948075
34, 1.4411611144450538e+02, 5.0940160483345984e+01, -5.8768732884292172e+00, 8.6486676604202071e+00, 50.94016048334598
35, 1.4411617303145894e+02, 5.0935626042441633e+01, -5.8811992566446643e+00, 8.6532221588868303e+00, 50.93562604244164
36, 1.4411620868058620e+02, 5.0931522096621961e+01, -5.8809573577171550e+00, 8.6522691402883751e+00, 50.93152209662196
37, 1.4411633125346535e+02, 5.0925111384753272e+01, -5.8802950453631091e+00, 8.6505676710239516e+00, 50.92511138475327
38, 1.4411649075960736e+02, 5.0925690867727241e+01, -5.8800642361206048e+00, 8.6493626077352683e+00, 50.92569086772724
39, 1.4411676892229866e+02, 5.0971347409713879e+01, -5.8789459107877740e+00, 8.6465584584006248e+00, 50.97134740971388
40, 1.4411665966593750e+02, 5.0991684399757609e+01, -5.8754551275549982e+00, 8.6423756819704760e+00, 50.99168439975761
41, 1.4411666120836526e+02, 5.1002075659436038e+01, -5.8793419850075939e+00, 8.6473750013235549e+00, 51.00207565943604
42, 1.4411641505171755e+02, 5.1011651047184714e+01, -5.8796301965659321e+00, 8.6468397913323063e+00, 51.01165104718471
43, 1.4411616346173921e+02, 5.1014123540064595e+01, -5.8808169070831759e+00, 8.6489099600258950e+00, 51.0141235400646
44, 1.4411583328225868e+02, 5.1014786775262124e+01, -5.8798895043675659e+00, 8.6497614275978716e+00, 51.01478677526212
45, 1.4411588462559072e+02, 5.1017087138604658e+01, -5.8808298735163183e+00, 8.6516423233633937e+00, 51.01708713860466
46, 1.4411538173909784e+02, 5.0964485350968694e+01, -5.8831096647921699e+00, 8.6539567973680409e+00, 50.9644853509687
47, 1.4411550954201445e+02, 5.0955091669829287e+01, -5.8816577250418067e+00, 8.6539432210162612e+00, 50.95509166982929
48, 1.4411568816275394e+02, 5.0937686617760036e+01, -5.8778810779367108e+00, 8.6492097166617476e+00, 50.93768661776004
49, 1.4411577674073354e+02, 5.0930004806548034e+01, -5.8815696191052993e+00, 8.6533812053052142e+00, 50.93000480654803
50, 1.4411579755652437e+02, 5.0926817204814007e+01, -5.8813024869666846e+00, 8.6523658390505691e+00, 50.92681720481401
