# Iter, weightedAverage(Ux), weightedAverage(Uy), total_x, total_y, force
1, 1.4409015873044416e+02, 5.6705711485990690e+01, -5.7049452238535592e+00, 8.1753828591543449e+00, 8.175382859154345
2, 1.4408248974474512e+02, 5.8492042555463357e+01, -5.6446446941725066e+00, 8.0257920905762763e+00, 8.025687848314174
3, 1.4406543786951872e+02, 6.2402618158662825e+01, -5.4990932149017802e+00, 7.6883580048175357e+00, 7.688066831473205
4, 1.4405264068538398e+02, 6.5736128864517369e+01, -5.3682516240781757e+00, 7.4083047316458002e+00, 7.40790807901116
5, 1.4404370245151327e+02, 6.8392069493241621e+01, -5.2580120059261066e+00, 7.1856394461314519e+00, 7.185181629271877
6, 1.4403860096920536e+02, 7.0504053920147001e+01, -5.1671448072407014e+00, 7.0091211507940052e+00, 7.008623644998946
7, 1.4403584703785697e+02, 7.2204307121809478e+01, -5.0921545872867098e+00, 6.8671037613984263e+00, 6.866578812665385
8, 1.4403470472871138e+02, 7.3584679714828169e+01, -5.0300814572783450e+00, 6.7514404692786130e+00, 6.750896056308333
9, 1.4403340114992346e+02, 7.4713499541501861e+01, -4.9784006902908668e+00, 6.6562657601776616e+00, 6.655706155573247
10, 1.4403279085717782e+02, 7.5659371953907922e+01, -4.9351346389364119e+00, 6.5772348401901430e+00, 6.576664072654622
11, 1.4403230522981264e+02, 7.6462271417121443e+01, -4.8984254138547163e+00, 6.5106198687571348e+00, 6.510040517883213
12, 1.4403141033668490e+02, 7.7135007982516200e+01, -4.8672513906466373e+00, 6.4543243397653631e+00, 6.453738472813719
13, 1.4403003879726171e+02, 7.7694098703126230e+01, -4.8407174926977596e+00, 6.4065877258299757e+00, 6.405997173624134
14, 1.4402930470042861e+02, 7.8180779384942156e+01, -4.8180054361001634e+00, 6.3658803457493178e+00, 6.365286021702371
15, 1.4402951797656419e+02, 7.8614503252698185e+01, -4.7984947371700901e+00, 6.3309908065653060e+00, 6.330393898304671
16, 1.4402875969727160e+02, 7.8976088732939189e+01, -4.7816625637425227e+00, 6.3009633622480479e+00, 6.300364421709702
17, 1.4402886823475569e+02, 7.9294757358518225e+01, -4.7671413396663809e+00, 6.2751156244584028e+00, 6.27451532725575
18, 1.4402898947067641e+02, 7.9562950965276883e+01, -4.7545612426692010e+00, 6.2527766977034309e+00, 6.252175368578077
19, 1.4402843093094563e+02, 7.9788994006840781e+01, -4.7437194194897234e+00, 6.2335458329844995e+00, 6.23294390473002
20, 1.4402788896545201e+02, 7.9989086064010223e+01, -4.7342609419667623e+00, 6.2167897004703869e+00, 6.216187358288787
21, 1.4402730347684371e+02, 8.0165231983024839e+01, -4.7259058833715590e+00, 6.2019874385138003e+00, 6.20138502097456
22, 1.4402657205427639e+02, 8.0311834088317710e+01, -4.7186045682471072e+00, 6.1890699442239843e+00, 6.18846752054293
23, 1.4402572191534352e+02, 8.0423651924726400e+01, -4.7122665371551085e+00, 6.1779021695922234e+00, 6.177299797799336
24, 1.4402522591541330e+02, 8.0523085594824607e+01, -4.7068629482640878e+00, 6.1683547430625731e+00, 6.167752386574383
25, 1.4402470755817498e+02, 8.0595919996991967e+01, -4.7019362249542871e+00, 6.1596028727241645e+00, 6.159000624391727
26, 1.4402505414838933e+02, 8.0675211043237042e+01, -4.6978307890418733e+00, 6.1523184309013832e+00, 6.151716037922323
27, 1.4402480124116695e+02, 8.0722625107675938e+01, -4.6943866504217411e+00, 6.1462321053289815e+00, 6.145629715668757
28, 1.4402487411011433e+02, 8.0802413246610399e+01, -4.6910941546525642e+00, 6.1404910790665470e+00, 6.139889024732152
29, 1.4402447203503019e+02, 8.0846752751418620e+01, -4.6885128611463580e+00, 6.1358520212225862e+00, 6.135249854435167
30, 1.4402438226521829e+02, 8.0900354161901191e+01, -4.6857199156383968e+00, 6.1309531382204590e+00, 6.130351285602567
